edad,tipo_empresa,peso_final,max_nivel_educ,agnos_educacion,estado_civil,ocupacion,relacion_jhogar,ciudadania,sexo,ganancia_cap,perdida_cap,hrs_sem,comuna,net60mn
35,serv publico regional,76845,1roMedio,5,casado-a,agricultor-pescador,esposo,pueblo originario,hombre,0,0,40,Vitacura,0
43,empresa privada,117037,3roMedio,7,casado-a,chofer-mudanza,esposo,chileno,hombre,0,2042,40,Vitacura,0
59,empresa privada,109015,educ media completa,9,divorciado-a,soporte tecnico,soltero,chileno,mujer,0,0,40,Vitacura,0
56,serv publico municipal,216851,universitaria,13,casado-a,soporte tecnico,esposo,chileno,hombre,0,0,40,Vitacura,1
19,empresa privada,168294,educ media completa,9,nunca casado-a,mantenedor-reparador,hijo-a,chileno,hombre,0,0,40,Vitacura,0
54,?,180211,univ incompleta,10,casado-a,?,esposo,extranjero,hombre,0,0,60,Iquique,1
39,empresa privada,367260,educ media completa,9,divorciado-a,ejecutivo gerencial,sin familia,chileno,hombre,0,0,80,Vitacura,0
49,empresa privada,193366,educ media completa,9,casado-a,mantenedor-reparador,esposo,chileno,hombre,0,0,40,Vitacura,0
23,serv publico municipal,190709,bachiller univ,12,nunca casado-a,servicios seguridad,sin familia,chileno,hombre,0,0,52,Vitacura,0
20,empresa privada,266015,univ incompleta,10,nunca casado-a,ventas,hijo-a,pueblo originario,hombre,0,0,44,Vitacura,0
45,empresa privada,386940,universitaria,13,divorciado-a,ejecutivo gerencial,hijo-a,chileno,hombre,0,1408,40,Vitacura,0
30,serv publico regional,59951,univ incompleta,10,casado-a,administrativo,hijo-a,chileno,hombre,0,0,40,Vitacura,0
22,serv publico nacional,311512,univ incompleta,10,casado-a,otros servicios,esposo,pueblo originario,hombre,0,0,15,Vitacura,0
48,empresa privada,242406,3roMedio,7,nunca casado-a,operador maquinaria-inspector,soltero,chileno,hombre,0,0,40,La Serena,0
21,empresa privada,197200,univ incompleta,10,nunca casado-a,operador maquinaria-inspector,hijo-a,chileno,hombre,0,0,40,Vitacura,0
19,empresa privada,544091,educ media completa,9,casado-pareja-fza-armadas,administrativo,esposa,chileno,mujer,0,0,25,Vitacura,0
31,empresa privada,84154,univ incompleta,10,casado-a,ventas,esposo,chileno,hombre,0,0,38,?,1
48,emprendedor,265477,bachiller univ,12,casado-a,profesional c-especialidad,esposo,chileno,hombre,0,0,40,Vitacura,0
31,empresa privada,507875,1roMedio,5,casado-a,operador maquinaria-inspector,esposo,chileno,hombre,0,0,43,Vitacura,0
53,emprendedor,88506,universitaria,13,casado-a,profesional c-especialidad,esposo,chileno,hombre,0,0,40,Vitacura,0
24,empresa privada,172987,universitaria,13,casado-a,soporte tecnico,esposo,chileno,hombre,0,0,50,Vitacura,0
49,empresa privada,94638,educ media completa,9,separado-a,administrativo,soltero,chileno,mujer,0,0,40,Vitacura,0
25,empresa privada,289980,educ media completa,9,nunca casado-a,reponedor-aseador,sin familia,chileno,hombre,0,0,35,Vitacura,0
57,serv publico regional,337895,universitaria,13,casado-a,profesional c-especialidad,esposo,pueblo originario,hombre,0,0,40,Vitacura,1
53,empresa privada,144361,educ media completa,9,casado-a,operador maquinaria-inspector,esposo,chileno,hombre,0,0,38,Vitacura,0
44,empresa privada,128354,magister,14,divorciado-a,ejecutivo gerencial,soltero,chileno,mujer,0,0,40,Vitacura,0
41,serv publico nacional,101603,tecnico no-univ,11,casado-a,mantenedor-reparador,esposo,chileno,hombre,0,0,40,Vitacura,0
29,empresa privada,271466,tecnico no-univ,11,nunca casado-a,profesional c-especialidad,sin familia,chileno,hombre,0,0,43,Vitacura,0
25,empresa privada,32275,univ incompleta,10,casado-a,ejecutivo gerencial,esposa,otro,mujer,0,0,40,Vitacura,0
18,empresa privada,226956,educ media completa,9,nunca casado-a,otros servicios,hijo-a,chileno,mujer,0,0,30,?,0
47,empresa privada,51835,postitulo,15,casado-a,profesional c-especialidad,esposa,chileno,mujer,0,1902,60,Temuco,1
50,serv publico regional,251585,universitaria,13,divorciado-a,ejecutivo gerencial,sin familia,chileno,hombre,0,0,55,Vitacura,1
47,empresario,109832,educ media completa,9,divorciado-a,ejecutivo gerencial,sin familia,chileno,hombre,0,0,60,Vitacura,0
43,empresa privada,237993,univ incompleta,10,casado-a,soporte tecnico,esposo,chileno,hombre,0,0,40,Vitacura,1
46,empresa privada,216666,6toBasico,3,casado-a,operador maquinaria-inspector,esposo,chileno,hombre,0,0,40,Machali,0
35,empresa privada,56352,tecnico no-univ,11,casado-a,otros servicios,esposo,chileno,hombre,0,0,40,La Serena,0
41,empresa privada,147372,educ media completa,9,casado-a,administrativo,esposo,chileno,hombre,0,0,48,Vitacura,0
30,empresa privada,188146,educ media completa,9,casado-a,operador maquinaria-inspector,esposo,chileno,hombre,5013,0,40,Vitacura,0
30,empresa privada,59496,universitaria,13,casado-a,ventas,esposo,chileno,hombre,2407,0,40,Vitacura,0
32,?,293936,8voBasico,4,casado-pareja-ausente,?,sin familia,chileno,hombre,0,0,40,?,0
48,empresa privada,149640,educ media completa,9,casado-a,chofer-mudanza,esposo,chileno,hombre,0,0,40,Vitacura,0
42,empresa privada,116632,doctorado,16,casado-a,profesional c-especialidad,esposo,chileno,hombre,0,0,45,Vitacura,1
29,empresa privada,105598,univ incompleta,10,divorciado-a,soporte tecnico,sin familia,chileno,hombre,0,0,58,Vitacura,0
36,empresa privada,155537,educ media completa,9,casado-a,mantenedor-reparador,esposo,chileno,hombre,0,0,40,Vitacura,0
28,empresa privada,183175,univ incompleta,10,divorciado-a,administrativo,sin familia,chileno,mujer,0,0,40,Vitacura,0
53,empresa privada,169846,educ media completa,9,casado-a,administrativo,esposa,chileno,mujer,0,0,40,Vitacura,1
49,empresario,191681,univ incompleta,10,casado-a,ejecutivo gerencial,esposo,chileno,hombre,0,0,50,Vitacura,1
25,?,200681,univ incompleta,10,nunca casado-a,?,hijo-a,chileno,hombre,0,0,40,Vitacura,0
19,empresa privada,101509,univ incompleta,10,nunca casado-a,profesional c-especialidad,hijo-a,chileno,hombre,0,0,32,Vitacura,0
31,empresa privada,309974,universitaria,13,separado-a,ventas,hijo-a,pueblo originario,mujer,0,0,40,Vitacura,0
29,emprendedor,162298,universitaria,13,casado-a,ventas,esposo,chileno,hombre,0,0,70,Vitacura,1
23,empresa privada,211678,univ incompleta,10,nunca casado-a,operador maquinaria-inspector,sin familia,chileno,hombre,0,0,40,Vitacura,0
79,empresa privada,124744,univ incompleta,10,casado-a,profesional c-especialidad,otro parentezco,chileno,hombre,0,0,20,Vitacura,0
27,empresa privada,213921,educ media completa,9,nunca casado-a,otros servicios,hijo-a,chileno,hombre,0,0,40,Machali,0
40,empresa privada,32214,bachiller univ,12,casado-a,administrativo,esposo,chileno,hombre,0,0,40,Vitacura,0
67,?,212759,2doMedio,6,casado-a,?,esposo,chileno,hombre,0,0,2,Vitacura,0
18,empresa privada,309634,3roMedio,7,nunca casado-a,otros servicios,hijo-a,chileno,mujer,0,0,22,Vitacura,0
31,serv publico municipal,125927,8voBasico,4,casado-a,agricultor-pescador,esposo,chileno,hombre,0,0,40,Vitacura,0
18,empresa privada,446839,educ media completa,9,nunca casado-a,ventas,sin familia,chileno,hombre,0,0,30,Vitacura,0
52,empresa privada,276515,universitaria,13,casado-a,otros servicios,esposo,chileno,hombre,0,0,40,Los Angeles,0
46,empresa privada,51618,educ media completa,9,casado-a,otros servicios,esposa,chileno,mujer,0,0,40,Vitacura,0
59,empresa privada,159937,educ media completa,9,casado-a,ventas,esposo,chileno,hombre,0,0,48,Vitacura,0
44,empresa privada,343591,educ media completa,9,divorciado-a,mantenedor-reparador,sin familia,chileno,mujer,14344,0,40,Vitacura,1
53,empresa privada,346253,educ media completa,9,divorciado-a,ventas,hijo-a,chileno,mujer,0,0,35,Vitacura,0
49,serv publico municipal,268234,educ media completa,9,casado-a,servicios seguridad,esposo,chileno,hombre,0,0,40,Vitacura,1
33,empresa privada,202051,magister,14,casado-a,profesional c-especialidad,esposo,chileno,hombre,0,0,50,Vitacura,0
30,empresa privada,54334,1roMedio,5,nunca casado-a,ventas,sin familia,chileno,hombre,0,0,40,Vitacura,0
43,serv publico regional,410867,doctorado,16,nunca casado-a,profesional c-especialidad,sin familia,chileno,mujer,0,0,50,Vitacura,1
57,empresa privada,249977,tecnico no-univ,11,casado-a,profesional c-especialidad,esposo,chileno,hombre,0,0,40,Vitacura,0
37,empresa privada,286730,univ incompleta,10,divorciado-a,mantenedor-reparador,soltero,chileno,mujer,0,0,40,Vitacura,0
28,empresa privada,212563,univ incompleta,10,divorciado-a,operador maquinaria-inspector,soltero,pueblo originario,mujer,0,0,25,Vitacura,0
30,empresa privada,117747,educ media completa,9,casado-a,ventas,esposa,extranjero,mujer,0,1573,35,?,0
34,serv publico municipal,226296,universitaria,13,casado-a,servicios seguridad,esposo,chileno,hombre,0,0,40,Vitacura,1
29,serv publico municipal,115585,univ incompleta,10,nunca casado-a,reponedor-aseador,sin familia,chileno,hombre,0,0,50,Vitacura,0
48,emprendedor,191277,doctorado,16,casado-a,profesional c-especialidad,esposo,chileno,hombre,0,1902,60,Vitacura,1
37,empresa privada,202683,univ incompleta,10,casado-a,ventas,esposo,chileno,hombre,0,0,48,Vitacura,1
48,empresa privada,171095,bachiller univ,12,divorciado-a,ejecutivo gerencial,soltero,chileno,mujer,0,0,40,Concon,0
32,serv publico regional,249409,educ media completa,9,nunca casado-a,otros servicios,hijo-a,pueblo originario,hombre,0,0,40,Vitacura,0
76,empresa privada,124191,magister,14,casado-a,ejecutivo gerencial,esposo,chileno,hombre,0,0,40,Vitacura,1
44,empresa privada,198282,universitaria,13,casado-a,ejecutivo gerencial,esposo,chileno,hombre,15024,0,60,Vitacura,1
47,emprendedor,149116,magister,14,nunca casado-a,profesional c-especialidad,sin familia,chileno,mujer,0,0,50,Vitacura,0
20,empresa privada,188300,univ incompleta,10,nunca casado-a,soporte tecnico,hijo-a,chileno,mujer,0,0,40,Vitacura,0
29,empresa privada,103432,educ media completa,9,nunca casado-a,mantenedor-reparador,sin familia,chileno,hombre,0,0,40,Vitacura,0
32,empresario,317660,educ media completa,9,casado-a,mantenedor-reparador,esposo,chileno,hombre,7688,0,40,Vitacura,1
17,?,304873,2doMedio,6,nunca casado-a,?,hijo-a,chileno,mujer,34095,0,32,Vitacura,0
30,empresa privada,194901,3roMedio,7,nunca casado-a,reponedor-aseador,hijo-a,chileno,hombre,0,0,40,Vitacura,0
31,serv publico municipal,189265,educ media completa,9,nunca casado-a,administrativo,sin familia,chileno,mujer,0,0,40,Vitacura,0
42,empresa privada,124692,educ media completa,9,casado-a,reponedor-aseador,esposo,chileno,hombre,0,0,40,Vitacura,0
24,empresa privada,432376,universitaria,13,nunca casado-a,ventas,otro parentezco,chileno,hombre,0,0,40,Vitacura,0
38,empresa privada,65324,postitulo,15,casado-a,profesional c-especialidad,esposo,chileno,hombre,0,0,40,Vitacura,1
56,emprendedor,335605,educ media completa,9,casado-a,otros servicios,esposo,chileno,hombre,0,1887,50,Copiapo,1
28,empresa privada,377869,univ incompleta,10,casado-a,ventas,esposa,chileno,mujer,4064,0,25,Vitacura,0
36,empresa privada,102864,educ media completa,9,nunca casado-a,operador maquinaria-inspector,hijo-a,chileno,mujer,0,0,40,Vitacura,0
53,empresa privada,95647,1roMedio,5,casado-a,reponedor-aseador,esposo,chileno,hombre,0,0,50,Vitacura,0
56,empresario,303090,univ incompleta,10,casado-a,ventas,esposo,chileno,hombre,0,0,50,Vitacura,0
49,serv publico municipal,197371,tecnico no-univ,11,casado-a,mantenedor-reparador,esposo,pueblo originario,hombre,0,0,40,Vitacura,1
55,empresa privada,247552,univ incompleta,10,casado-a,ventas,esposo,chileno,hombre,0,0,56,Vitacura,0
22,empresa privada,102632,educ media completa,9,nunca casado-a,mantenedor-reparador,sin familia,chileno,hombre,0,0,41,Vitacura,0
21,empresa privada,199915,univ incompleta,10,nunca casado-a,otros servicios,hijo-a,chileno,mujer,0,0,40,Vitacura,0
40,empresa privada,118853,universitaria,13,casado-a,ejecutivo gerencial,esposo,chileno,hombre,0,0,60,Vitacura,0
30,empresa privada,77143,universitaria,13,nunca casado-a,ejecutivo gerencial,hijo-a,pueblo originario,hombre,0,0,40,Lo Barnechea,0
29,serv publico nacional,267989,universitaria,13,casado-a,profesional c-especialidad,esposo,chileno,hombre,0,0,50,Vitacura,1
19,empresa privada,301606,univ incompleta,10,nunca casado-a,otros servicios,hijo-a,pueblo originario,hombre,0,0,35,Vitacura,0
47,empresa privada,287828,universitaria,13,casado-a,ejecutivo gerencial,esposa,chileno,mujer,0,0,40,Vitacura,1
20,empresa privada,111697,univ incompleta,10,nunca casado-a,administrativo,hijo-a,chileno,mujer,0,1719,28,Vitacura,0
31,empresa privada,114937,bachiller univ,12,casado-a,administrativo,esposo,chileno,hombre,0,0,40,Vitacura,1
35,?,129305,educ media completa,9,casado-a,?,esposo,chileno,hombre,0,0,40,Vitacura,0
39,empresa privada,365739,univ incompleta,10,divorciado-a,mantenedor-reparador,sin familia,chileno,hombre,0,0,40,Vitacura,0
28,empresa privada,69621,bachiller univ,12,nunca casado-a,ventas,sin familia,chileno,mujer,0,0,60,Vitacura,0
24,empresa privada,43323,educ media completa,9,nunca casado-a,otros servicios,sin familia,chileno,mujer,0,1762,40,Vitacura,0
38,emprendedor,120985,educ media completa,9,casado-a,mantenedor-reparador,esposo,chileno,hombre,4386,0,35,Vitacura,0
37,empresa privada,254202,universitaria,13,casado-a,ventas,esposo,chileno,hombre,0,0,50,Vitacura,0
46,empresa privada,146195,bachiller univ,12,divorciado-a,soporte tecnico,sin familia,pueblo originario,mujer,0,0,36,Vitacura,0
38,serv publico regional,125933,magister,14,casado-a,profesional c-especialidad,esposo,chileno,hombre,0,0,40,Puerto Varas,1
43,emprendedor,56920,educ media completa,9,casado-a,mantenedor-reparador,esposo,chileno,hombre,0,0,60,Vitacura,0
27,empresa privada,163127,tecnico no-univ,11,casado-a,administrativo,esposa,chileno,mujer,0,0,35,Vitacura,0
20,empresa privada,34310,univ incompleta,10,nunca casado-a,ventas,hijo-a,chileno,hombre,0,0,20,Vitacura,0
49,empresa privada,81973,univ incompleta,10,casado-a,mantenedor-reparador,esposo,extranjero,hombre,0,0,40,Vitacura,1
61,empresario,66614,educ media completa,9,casado-a,mantenedor-reparador,esposo,chileno,hombre,0,0,40,Vitacura,0
27,empresa privada,232782,univ incompleta,10,nunca casado-a,ventas,hijo-a,chileno,mujer,0,0,40,Vitacura,0
19,empresa privada,316868,univ incompleta,10,nunca casado-a,otros servicios,hijo-a,chileno,hombre,0,0,30,Machali,0
45,empresa privada,196584,tecnico no-univ,11,nunca casado-a,profesional c-especialidad,sin familia,chileno,mujer,0,1564,40,Vitacura,1
70,empresa privada,105376,univ incompleta,10,nunca casado-a,soporte tecnico,otro parentezco,chileno,hombre,0,0,40,Vitacura,0
31,empresa privada,185814,educ media completa,9,nunca casado-a,chofer-mudanza,soltero,pueblo originario,mujer,0,0,30,Vitacura,0
22,empresa privada,175374,univ incompleta,10,casado-a,otros servicios,esposo,chileno,hombre,0,0,24,Vitacura,0
36,empresa privada,108293,educ media completa,9,viudo-a,otros servicios,soltero,chileno,mujer,0,0,24,Vitacura,0
64,empresa privada,181232,3roMedio,7,casado-a,mantenedor-reparador,esposo,chileno,hombre,0,2179,40,Vitacura,0
43,?,174662,univ incompleta,10,divorciado-a,?,sin familia,chileno,mujer,0,0,40,Vitacura,0
47,serv publico municipal,186009,univ incompleta,10,divorciado-a,administrativo,soltero,chileno,mujer,0,0,38,Machali,0
34,empresa privada,198183,educ media completa,9,nunca casado-a,administrativo,sin familia,chileno,mujer,0,0,40,Vitacura,0
33,empresa privada,163003,universitaria,13,nunca casado-a,ejecutivo gerencial,otro parentezco,extranjero,mujer,0,0,40,La Union,0
21,empresa privada,296158,educ media completa,9,nunca casado-a,mantenedor-reparador,hijo-a,chileno,hombre,0,0,35,Vitacura,0
52,?,252903,educ media completa,9,divorciado-a,?,sin familia,chileno,hombre,0,0,45,Vitacura,1
48,empresa privada,187715,educ media completa,9,casado-a,mantenedor-reparador,esposo,chileno,hombre,0,0,46,Vitacura,0
23,empresa privada,214542,universitaria,13,nunca casado-a,reponedor-aseador,sin familia,chileno,hombre,0,0,40,Vitacura,0
71,emprendedor,494223,univ incompleta,10,separado-a,ventas,soltero,pueblo originario,hombre,0,1816,2,Vitacura,0
29,empresa privada,191535,educ media completa,9,divorciado-a,mantenedor-reparador,sin familia,chileno,hombre,0,0,60,Vitacura,0
42,empresa privada,228456,universitaria,13,separado-a,otros servicios,otro parentezco,pueblo originario,hombre,0,0,50,Vitacura,0
68,?,38317,4toBasico,2,divorciado-a,?,sin familia,chileno,mujer,0,0,20,Vitacura,0
25,empresa privada,252752,educ media completa,9,nunca casado-a,otros servicios,soltero,chileno,mujer,0,0,40,Vitacura,0
44,empresario,78374,magister,14,divorciado-a,ejecutivo gerencial,soltero,extranjero,mujer,0,0,40,Vitacura,0
28,empresa privada,88419,educ media completa,9,nunca casado-a,ejecutivo gerencial,sin familia,extranjero,mujer,0,0,40,Concon,0
45,emprendedor,201080,magister,14,casado-a,ventas,esposo,chileno,hombre,0,0,40,Vitacura,1
36,empresa privada,207157,univ incompleta,10,divorciado-a,otros servicios,soltero,chileno,mujer,0,0,40,Machali,0
39,serv publico regional,235485,bachiller univ,12,nunca casado-a,ejecutivo gerencial,sin familia,chileno,hombre,0,0,42,Vitacura,0
46,serv publico nacional,102628,magister,14,viudo-a,servicios seguridad,soltero,chileno,hombre,0,0,40,Vitacura,0
18,empresa privada,25828,3roMedio,7,nunca casado-a,reponedor-aseador,hijo-a,chileno,hombre,0,0,16,Vitacura,0
66,serv publico municipal,54826,tecnico no-univ,11,viudo-a,profesional c-especialidad,sin familia,chileno,mujer,0,0,20,Vitacura,0
27,empresa privada,124953,educ media completa,9,nunca casado-a,otros servicios,sin familia,chileno,hombre,0,1980,40,Vitacura,0
28,serv publico nacional,175325,educ media completa,9,casado-a,servicios seguridad,esposo,chileno,hombre,0,0,40,Vitacura,0
51,empresa privada,96062,univ incompleta,10,casado-a,ventas,esposo,chileno,hombre,0,1977,40,Vitacura,1
27,empresa privada,428030,universitaria,13,nunca casado-a,mantenedor-reparador,sin familia,chileno,hombre,0,0,50,Vitacura,0
28,serv publico nacional,149624,universitaria,13,casado-a,profesional c-especialidad,esposo,chileno,hombre,0,0,40,Vitacura,1
27,empresa privada,253814,educ media completa,9,casado-pareja-ausente,ventas,soltero,chileno,mujer,0,0,25,Vitacura,0
21,empresa privada,312956,educ media completa,9,nunca casado-a,mantenedor-reparador,hijo-a,pueblo originario,hombre,0,0,40,Vitacura,0
34,empresa privada,483777,educ media completa,9,nunca casado-a,reponedor-aseador,sin familia,pueblo originario,hombre,0,0,40,Vitacura,0
18,empresa privada,183930,educ media completa,9,nunca casado-a,otros servicios,hijo-a,chileno,hombre,0,0,12,Vitacura,0
33,empresa privada,37274,universitaria,13,casado-a,profesional c-especialidad,esposo,chileno,hombre,0,0,65,Vitacura,0
44,serv publico municipal,181344,univ incompleta,10,casado-a,ejecutivo gerencial,esposo,pueblo originario,hombre,0,0,38,Vitacura,1
43,empresa privada,114580,univ incompleta,10,divorciado-a,administrativo,sin familia,chileno,mujer,0,0,40,Vitacura,0
30,empresa privada,633742,univ incompleta,10,nunca casado-a,mantenedor-reparador,sin familia,pueblo originario,hombre,0,0,45,Vitacura,0
40,empresa privada,286370,8voBasico,4,casado-a,operador maquinaria-inspector,esposo,chileno,hombre,0,0,40,Machali,1
37,serv publico regional,29054,univ incompleta,10,casado-a,administrativo,esposo,chileno,hombre,0,0,42,Vitacura,1
34,empresa privada,304030,educ media completa,9,casado-a,administrativo,esposo,pueblo originario,hombre,0,0,40,Vitacura,0
41,emprendedor,143129,universitaria,13,divorciado-a,ejecutivo gerencial,sin familia,chileno,mujer,0,0,40,Vitacura,0
53,?,135105,universitaria,13,divorciado-a,?,sin familia,chileno,mujer,0,0,50,Vitacura,0
31,empresa privada,99928,magister,14,casado-a,profesional c-especialidad,esposa,chileno,mujer,0,0,50,Vitacura,0
58,serv publico nacional,109567,doctorado,16,casado-a,profesional c-especialidad,esposo,chileno,hombre,0,0,1,Vitacura,1
38,empresa privada,155222,univ incompleta,10,divorciado-a,operador maquinaria-inspector,sin familia,pueblo originario,mujer,0,0,28,Vitacura,0
24,empresa privada,159567,univ incompleta,10,casado-a,operador maquinaria-inspector,esposo,chileno,hombre,0,0,40,Vitacura,0
41,serv publico municipal,523910,universitaria,13,casado-a,mantenedor-reparador,esposo,pueblo originario,hombre,0,0,40,Vitacura,0
47,empresa privada,120939,univ incompleta,10,casado-a,soporte tecnico,esposo,chileno,hombre,0,0,45,Vitacura,0
41,serv publico regional,130760,universitaria,13,casado-a,soporte tecnico,esposo,chileno,hombre,0,0,24,Vitacura,0
23,empresa privada,197387,6toBasico,3,casado-a,chofer-mudanza,otro parentezco,chileno,hombre,0,0,40,Machali,0
36,empresa privada,99374,univ incompleta,10,divorciado-a,mantenedor-reparador,sin familia,chileno,hombre,0,0,40,Vitacura,0
40,serv publico regional,56795,magister,14,nunca casado-a,ejecutivo gerencial,sin familia,chileno,mujer,14084,0,55,Vitacura,1
35,empresa privada,138992,magister,14,casado-a,profesional c-especialidad,otro parentezco,chileno,hombre,7298,0,40,Vitacura,1
24,emprendedor,32921,educ media completa,9,nunca casado-a,ventas,sin familia,chileno,hombre,0,0,40,Vitacura,0
26,empresa privada,397317,magister,14,nunca casado-a,profesional c-especialidad,sin familia,chileno,mujer,0,1876,40,Vitacura,0
19,?,170653,educ media completa,9,nunca casado-a,?,hijo-a,chileno,hombre,0,0,40,La Reina,0
51,empresa privada,259323,universitaria,13,casado-a,ejecutivo gerencial,esposo,chileno,hombre,0,0,50,Vitacura,1
42,serv publico municipal,254817,univ incompleta,10,nunca casado-a,profesional c-especialidad,sin familia,chileno,mujer,0,1340,40,Vitacura,0
37,serv publico nacional,48211,educ media completa,9,divorciado-a,administrativo,soltero,chileno,mujer,0,0,35,Vitacura,0
18,empresa privada,140164,3roMedio,7,nunca casado-a,ventas,hijo-a,chileno,mujer,0,0,40,Vitacura,0
36,empresa privada,128757,universitaria,13,casado-a,otros servicios,esposo,pueblo originario,hombre,7298,0,36,Vitacura,1
35,empresa privada,36270,educ media completa,9,divorciado-a,mantenedor-reparador,sin familia,chileno,hombre,0,0,60,Vitacura,0
58,empresario,210563,educ media completa,9,casado-a,ventas,esposa,chileno,mujer,15024,0,35,Vitacura,1
17,empresa privada,65368,3roMedio,7,nunca casado-a,ventas,hijo-a,chileno,mujer,0,0,12,Vitacura,0
44,serv publico municipal,160943,educ media completa,9,casado-a,chofer-mudanza,esposo,pueblo originario,hombre,0,0,40,Vitacura,0
37,empresa privada,208358,educ media completa,9,casado-a,mantenedor-reparador,esposo,chileno,hombre,0,0,40,Vitacura,1
35,empresa privada,153790,univ incompleta,10,nunca casado-a,ventas,sin familia,isleno,mujer,0,0,40,Vitacura,0
60,empresa privada,85815,educ media completa,9,casado-a,mantenedor-reparador,esposo,extranjero,hombre,0,0,40,Vitacura,0
54,empresario,125417,8voBasico,4,casado-a,operador maquinaria-inspector,esposo,chileno,hombre,0,0,40,Vitacura,1
37,empresa privada,635913,universitaria,13,nunca casado-a,ejecutivo gerencial,sin familia,pueblo originario,hombre,0,0,60,Vitacura,1
50,empresa privada,313321,bachiller univ,12,divorciado-a,ventas,sin familia,chileno,mujer,0,0,40,Vitacura,0
38,empresa privada,182609,universitaria,13,casado-a,ventas,esposo,chileno,hombre,0,0,50,Punta Arenas,0
45,empresa privada,109434,universitaria,13,casado-a,profesional c-especialidad,esposo,chileno,hombre,0,0,55,Vitacura,0
25,empresa privada,255004,2doMedio,6,nunca casado-a,mantenedor-reparador,sin familia,chileno,hombre,0,0,40,Vitacura,0
31,empresa privada,197860,univ incompleta,10,casado-a,reponedor-aseador,esposo,chileno,hombre,0,0,40,Vitacura,0
64,?,187656,4toBasico,2,divorciado-a,?,sin familia,chileno,hombre,0,0,40,Vitacura,0
90,empresa privada,51744,educ media completa,9,nunca casado-a,otros servicios,sin familia,pueblo originario,hombre,0,2206,40,Vitacura,0
54,empresa privada,176681,educ media completa,9,casado-a,administrativo,esposo,pueblo originario,hombre,0,0,20,Vitacura,0
53,serv publico municipal,140359,prescolar,1,nunca casado-a,operador maquinaria-inspector,sin familia,chileno,mujer,0,0,35,Vitacura,0
18,empresa privada,243313,educ media completa,9,nunca casado-a,ventas,hijo-a,chileno,mujer,0,0,40,Vitacura,0
60,?,24215,2doMedio,6,divorciado-a,?,sin familia,isleno,mujer,0,0,10,Vitacura,0
66,emprendedor,167687,educ media completa,9,casado-a,agricultor-pescador,esposo,chileno,hombre,1409,0,50,Vitacura,0
75,empresa privada,314209,tecnico no-univ,11,viudo-a,administrativo,sin familia,chileno,mujer,0,0,20,Concepcion,0
